id;oracion;intencion;sub_intencion;accion;
88;Pestaña siguente;web;navegador;next_tab;
89;Pestaña anterior ;web;navegador;previus_tab;
90;Anterior pestaña ;web;navegador;previus_tab;
91;Siguiente pestaña ;web;navegador;next_tab;
92;Cerrar pestaña ;web;navegador;close_tab;
93;Abrir pestaña nueva ;web;navegador;new_tab;
94;Volver a la página anterior ;web;navegador;previus_pag;
95;Volver a una página hacia atrás ;web;navegador;previus_pag;
96;Página anterior ;web;navegador;previus_pag;
97;Volver una ;web;navegador;previus_pag;
98;Ir hacia atrás ;web;navegador;previus_pag;
99;Página de atrás ;web;navegador;previus_pag;
100;Abrir una nueva ventana ;web;navegador;new_windows;
101;Abrir otro Google Chrome ;web;navegador;new_windows;
102;Abrir otro navegador ;web;navegador;new_windows;
103;Nueva ventana ;web;navegador;new_windows;
104;Abrir una ventana distinta ;web;navegador;new_windows;
105;Abrir otro Chrome ;web;navegador;new_windows;
106;Ventana nueva ;web;navegador;new_windows;
107;Abrir la página web de ;web;paginasWeb;abir_web;
108;Abrir la web de ;web;paginasWeb;abir_web;
109;Página web ;web;paginasWeb;abir_web;
110;Abrir www;web;paginasWeb;abir_web;
111;www;web;paginasWeb;abir_web;
112;Abrirme el sitio ;web;paginasWeb;abir_web;
113;Abrir el sitio de ;web;paginasWeb;abir_web;
114;Abrir la página web de ;web;paginasWeb;abir_web;
115;Abrir carpeta ;sistema;exploradorArchivos;abrir_carpeta;
116;Abrir la carpeta de ;sistema;exploradorArchivos;abrir_carpeta;
117;Buscar la carpeta ;sistema;exploradorArchivos;abrir_carpeta;
118;Abrir carpetas ;sistema;exploradorArchivos;abrir_carpeta;
119;Abrir esta carpeta ;sistema;exploradorArchivos;abrir_carpeta;
120;Carpeta ;sistema;exploradorArchivos;abrir_carpeta;
121;minimizar carpeta;sistema;exploradorArchivos;minimizar;
122;Minimizar esto ;sistema;exploradorArchivos;minimizar;
123;Minimizar explorador ;sistema;exploradorArchivos;minimizar;
124;Minimizar ventana de archivos ;sistema;exploradorArchivos;minimizar;
125;Minimizarlo;sistema;exploradorArchivos;minimizar;
126;Minimiza me esta ventana ;sistema;exploradorArchivos;minimizar;
127;minimizame;sistema;exploradorArchivos;minimizar;
128;Maximizar ventana ;sistema;exploradorArchivos;maximizar;
129;Maximizar carpeta ;sistema;exploradorArchivos;maximizar;
130;Maximizar archivos ;sistema;exploradorArchivos;maximizar;
131;Maximizar ;sistema;exploradorArchivos;maximizar;
132;Maximizamelo ;sistema;exploradorArchivos;maximizar;
133;Abrir las configuraciones ;sistema;config;configuraciones;
134;Abrir configuraciones de Windows ;sistema;config;configuraciones;
135;Abrir la configuración ;sistema;config;configuraciones;
136;Configuración ;sistema;config;configuraciones;
137;Quiero ver las configuraciones de Windows ;sistema;config;configuraciones;
138;Quiero ver las configuraciones de Windows ;sistema;config;configuraciones;
139;Quiero modificar algo de mi equipo ;sistema;config;configuraciones;
140;Configurar ;sistema;config;configuraciones;
141;Abrir opción de configuración ;sistema;config;configuraciones;
142;Abrir alarma ;funcionesDirectas;herramientas;alarma;
143;Quiero establecer una alarma ;funcionesDirectas;herramientas;alarma;
144;Alarma ;funcionesDirectas;herramientas;alarma;
145;Quiero establecer un recordatorio ;funcionesDirectas;herramientas;alarma;
146;Despertarme a ;funcionesDirectas;herramientas;alarma;
147;Quiero despertarme ;funcionesDirectas;herramientas;alarma;
148;Quiero levantarme ;funcionesDirectas;herramientas;alarma;
149;Poner la alarma ;funcionesDirectas;herramientas;alarma;
150;Despiértame ;funcionesDirectas;herramientas;alarma;
151;Configurar despertador ;funcionesDirectas;herramientas;alarma;
152;Configurar alarma ;funcionesDirectas;herramientas;alarma;
153;Quiero hacer cálculo ;funcionesDirectas;herramientas;calculadora;
154;Quiero hacer un cálculo de matemática ;funcionesDirectas;herramientas;calculadora;
155;Quiero hacer una cuenta ;funcionesDirectas;herramientas;calculadora;
156;Quiero hacer una cuenta matemática ;funcionesDirectas;herramientas;calculadora;
157;Cuenta matemática ;funcionesDirectas;herramientas;calculadora;
158;Multiplicación ;funcionesDirectas;herramientas;calculadora;
159;Resta ;funcionesDirectas;herramientas;calculadora;
160;Cuánto es ;funcionesDirectas;herramientas;calculadora;
161;Suma ;funcionesDirectas;herramientas;calculadora;
162;Division ;funcionesDirectas;herramientas;calculadora;
163;Cuánto da ;funcionesDirectas;herramientas;calculadora;
164;Cuál es el resultado de hacer ;funcionesDirectas;herramientas;calculadora;
165;Cuál es el resultado de hacer ;funcionesDirectas;herramientas;calculadora;
166;Cuánto será ;funcionesDirectas;herramientas;calculadora;
167;Calcular ;funcionesDirectas;herramientas;calculadora;
168;Hacer un cálculo ;funcionesDirectas;herramientas;calculadora;
169;Calculadora ;funcionesDirectas;herramientas;calculadora;
170;Abrir calculadora ;funcionesDirectas;herramientas;calculadora;
171;Realizar operación ;funcionesDirectas;herramientas;calculadora;
172;Operaciones ;funcionesDirectas;herramientas;calculadora;
173;Qué hora es ;funcionesDirectas;herramientas;reloj;
174;Cuál hora es ;funcionesDirectas;herramientas;reloj;
175;Hora ;funcionesDirectas;herramientas;reloj;
176;Dime la hora ;funcionesDirectas;herramientas;reloj;
177;Dime cuál es la hora ;funcionesDirectas;herramientas;reloj;
178;Qué horas son ;funcionesDirectas;herramientas;reloj;
179;What time is it ;funcionesDirectas;herramientas;reloj;
180;Dime la hora por favor ;funcionesDirectas;herramientas;reloj;
181;Dime Qué hora es ;funcionesDirectas;herramientas;reloj;
182;Cuál es el clima ;funcionesDirectas;herramientas;clima;
183;Qué clima hace ;funcionesDirectas;herramientas;clima;
184;Cuál es la temperatura ;funcionesDirectas;herramientas;clima;
185;Cuál es el clima para hoy ;funcionesDirectas;herramientas;clima;
186;Cuál es la temperatura para hoy ;funcionesDirectas;herramientas;clima;
187;Va a llover ;funcionesDirectas;herramientas;clima;
188;Va a estar soleado ;funcionesDirectas;herramientas;clima;
189;Va a estar nublado ;funcionesDirectas;herramientas;clima;
190;Va a granizar ;funcionesDirectas;herramientas;clima;
191;Cuál es el tiempo ;funcionesDirectas;herramientas;clima;
192;Qué tiempo hace ;funcionesDirectas;herramientas;clima;
193;Tiempo ;funcionesDirectas;herramientas;clima;
194;Clima ;funcionesDirectas;herramientas;clima;
195;Léeme las últimas noticias ;funcionesDirectas;herramientas;noticias;
196;Léeme las noticias ;funcionesDirectas;herramientas;noticias;
197;Cuáles son las últimas noticias ;funcionesDirectas;herramientas;noticias;
198;Cuáles son las noticias de hoy ;funcionesDirectas;herramientas;noticias;
199;Cuáles son las novedades ;funcionesDirectas;herramientas;noticias;
200;Qué novedades hay ;funcionesDirectas;herramientas;noticias;
201;Noticias ;funcionesDirectas;herramientas;noticias;
202;Dime las noticias ;funcionesDirectas;herramientas;noticias;
203;Dime las últimas noticias ;funcionesDirectas;herramientas;noticias;
204;Léeme las noticias ;funcionesDirectas;herramientas;noticias;
205;Subir volumen ;funcionesDirectas;herramientas;volumenMas;
206;Subime el volumen ;funcionesDirectas;herramientas;volumenMas;
207;Subir un poquito el volumen ;funcionesDirectas;herramientas;volumenMas;
208;Aumentar el volumen ;funcionesDirectas;herramientas;volumenMas;
209;Aumentar sonido ;funcionesDirectas;herramientas;volumenMas;
210;Aumenta el volumen del sonido ;funcionesDirectas;herramientas;volumenMas;
211;Aumentar volumen de la música ;funcionesDirectas;herramientas;volumenMas;
212;Incrementar el volumen ;funcionesDirectas;herramientas;volumenMas;
213;Incrementar volumen de la música ;funcionesDirectas;herramientas;volumenMas;
214;Incrementar sonido ;funcionesDirectas;herramientas;volumenMas;
215;Bajar volumen ;funcionesDirectas;herramientas;volumenMenos;
216;Bajar sonido ;funcionesDirectas;herramientas;volumenMenos;
217;Reducir volumen ;funcionesDirectas;herramientas;volumenMenos;
218;Disminuir el volumen ;funcionesDirectas;herramientas;volumenMenos;
219;El volumen está muy alto ;funcionesDirectas;herramientas;volumenMenos;
220;Me voy a quedar sordo ;funcionesDirectas;herramientas;volumenMenos;
221;El volumen muy alto ;funcionesDirectas;herramientas;volumenMenos;
222;Bájale al volumen ;funcionesDirectas;herramientas;volumenMenos;
223;Baja un poco el volumen ;funcionesDirectas;herramientas;volumenMenos;
224;Nueva pestaña ;web;navegador;new_tab;
